Album	Track	Title	FeaturedArtists	FromTheVault	LowestFqWord	PrevalentVerb	PrevalentAdjective	PrevalentNoun	Lines	Verses	Bridges	Choruses	Refrains	InOuts	Words	GeniusUrl
SPN	17	Electric Touch	Fall Out Boy	Yes	fell	touch	electric	life	36	14	8	14	0	0	338	https://genius.com/Taylor-swift-electric-touch-taylors-version-from-the-vault-lyrics
SPN	18	When Emma Falls In Love		Yes	seein'	love	small	boys	40	20	4	15	0	1	379	https://genius.com/Taylor-swift-when-emma-falls-in-love-taylors-version-from-the-vault-lyrics
SPN	19	I Can See You		Yes	passed	touch	past	baby	49	10	6	28	0	5	410	https://genius.com/Taylor-swift-i-can-see-you-taylors-version-from-the-vault-lyrics
SPN	20	Castles Crumbling	Hayley Williams	Yes	pushed	watch	crumbling	empire	39	8	8	17	0	6	317	https://genius.com/Taylor-swift-castles-crumbling-taylors-version-from-the-vault-lyrics
SPN	21	Foolish One		Yes	oh-oh	love	foolish	confessions	61	16	9	24	0	12	461	https://genius.com/Taylor-swift-foolish-one-taylors-version-from-the-vault-lyrics
SPN	22	Timeless		Yes	turned	love	timeless	life	66	16	5	43	0	2	524	https://genius.com/Taylor-swift-timeless-taylors-version-from-the-vault-lyrics
RED	1	State Of Grace		No	cannonball	love	busy	room	44	11	8	21	0	4	274	https://genius.com/Taylor-swift-state-of-grace-taylors-version-lyrics
RED	2	Red		No	wishing	forgetting	red	dead-end	39	8	5	25	0	1	325	https://genius.com/Taylor-swift-red-taylors-version-lyrics
RED	3	Treacherous		No	swept	follow	treacherous	home	46	16	16	12	0	2	260	https://genius.com/Taylor-swift-treacherous-taylors-version-lyrics
RED	4	I Knew You Were Trouble		No	liked	walked	hard	trouble	60	12	4	40	0	4	404	https://genius.com/Taylor-swift-i-knew-you-were-trouble-taylors-version-lyrics
RED	6	22		No	oh-oh	feels	whole	nights	80	16	2	62	0	0	406	https://genius.com/Taylor-swift-22-taylors-version-lyrics
RED	7	I Almost Do		No	moved	bet	tired	night	38	8	6	20	0	4	278	https://genius.com/Taylor-swift-i-almost-do-taylors-version-lyrics
RED	8	We Are Never Ever Getting Back Together		No	ha-ha	talk	called	friends	43	12	6	19	0	6	373	https://genius.com/Taylor-swift-we-are-never-ever-getting-back-together-taylors-version-lyrics
RED	9	Stay Stay Stay		No	occurring	stay	mad	night	41	12	8	20	0	1	330	https://genius.com/Taylor-swift-stay-stay-stay-taylors-version-lyrics
RED	10	The Last Time	Gary Lightbody	No	achin'	put	better	askin'	54	16	6	24	0	8	438	https://genius.com/Taylor-swift-the-last-time-taylors-version-lyrics
RED	11	Holy Ground		No	fell	stood	lookin'	dance	48	16	8	16	0	8	315	https://genius.com/Taylor-swift-holy-ground-taylors-version-lyrics
RED	12	Sad Beautiful Tragic		No	erasing	love	beautiful	affair	23	8	4	11	0	0	190	https://genius.com/Taylor-swift-sad-beautiful-tragic-taylors-version-lyrics
RED	13	The Lucky One		No	chasin'	tell	lucky	name	42	18	0	24	0	0	335	https://genius.com/Taylor-swift-the-lucky-one-taylors-version-lyrics
RED	14	Everything Has Changed	Ed Sheeran	No	held	feel	better	eyes	69	12	4	44	0	9	443	https://genius.com/Taylor-swift-everything-has-changed-taylors-version-lyrics
RED	15	Starlight		No	pretendin'	tune	whole	starlight	49	11	4	28	0	6	335	https://genius.com/Taylor-swift-starlight-taylors-version-lyrics
RED	16	Begin Again		No	laughin'	watched	little	Wednesday	34	12	6	15	0	1	334	https://genius.com/Taylor-swift-begin-again-taylors-version-lyrics
RED	17	The Moment I Knew		No	streaming	dress	happy	moment	62	24	8	26	0	4	343	https://genius.com/Taylor-swift-the-moment-i-knew-taylors-version-lyrics
RED	18	Come Back...Be Here		No	played	miss	simple	feelin'	55	12	5	36	0	2	319	https://genius.com/Taylor-swift-come-back-be-here-taylors-version-lyrics
RED	19	Girl At Home		No	oh-oh	lose	fine	girl	56	12	4	34	0	6	395	https://genius.com/Taylor-swift-girl-at-home-taylors-version-lyrics
RED	21	Ronan		No	worst	remember	best	baby	41	20	4	15	0	2	303	https://genius.com/Taylor-swift-ronan-taylors-version-lyrics
RED	22	Better Man		Yes	careless	wish	better	man	45	8	7	28	0	2	488	https://genius.com/Taylor-swift-better-man-taylors-version-from-the-vault-lyrics
RED	23	Nothing New	Phoebe Bridgers	Yes	faking	wake	middle	night	49	13	6	30	0	0	367	https://genius.com/Taylor-swift-nothing-new-taylors-version-from-the-vault-lyrics
RED	24	Babe		Yes	oh-oh	promises	wrecking	babe	50	8	5	26	0	11	373	https://genius.com/Taylor-swift-babe-taylors-version-from-the-vault-lyrics
RED	25	Message In A Bottle		Yes	wonderin'	love	reachin'	standin'	47	8	5	30	0	4	396	https://genius.com/Taylor-swift-message-in-a-bottle-taylors-version-from-the-vault-lyrics
RED	26	I Bet You Think About Me	Chris Stapleton	Yes	upper-crust	bet	fine	city	49	20	6	16	0	7	419	https://genius.com/Taylor-swift-i-bet-you-think-about-me-taylors-version-from-the-vault-lyrics
RED	27	Forever Winter		Yes	pacin'	fall	young	pieces	50	8	4	36	0	2	354	https://genius.com/Taylor-swift-forever-winter-taylors-version-from-the-vault-lyrics
RED	28	Run	Ed Sheeran	Yes	locket	run	so-called	law	53	11	5	36	0	1	348	https://genius.com/Taylor-swift-run-taylors-version-from-the-vault-lyrics
RED	29	The Very First Night		Yes	broken-hearted	miss	broke	night	55	16	7	32	0	0	400	https://genius.com/Taylor-swift-the-very-first-night-taylors-version-from-the-vault-lyrics
RED	30	All Too Well (10 Minute Version)		Yes	crumpled-up	remember	rare	wind	109	52	8	30	0	19	968	https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics
NEN	1	Welcome To New York		No	guessing	welcome	bright	waitin'	41	10	4	27	0	0	316	https://genius.com/Taylor-swift-welcome-to-new-york-taylors-version-lyrics
NEN	2	Blank Space		No	worst	tell	insane	list	82	30	4	48	0	0	518	https://genius.com/Taylor-swift-blank-space-taylors-version-lyrics
NEN	3	Style		No	slicked	heard	crashin'	style	44	14	4	26	0	0	389	https://genius.com/Taylor-swift-style-taylors-version-lyrics
NEN	4	Out Of The Woods		No	discovered	remember	clear	woods	69	20	15	34	0	0	667	https://genius.com/Taylor-swift-out-of-the-woods-taylors-version-lyrics
NEN	5	All You Had To Do Was Stay		No	pushed	stay	late	palm	62	16	7	35	0	4	468	https://genius.com/Taylor-swift-all-you-had-to-do-was-stay-taylors-version-lyrics
NEN	6	Shake It Off		No	mm-mm	shake	fake	baby	70	16	10	44	0	0	563	https://genius.com/Taylor-swift-shake-it-off-taylors-version-lyrics
NEN	7	I Wish You Would		No	hung	wish	mad	phone	76	15	9	39	0	13	671	https://genius.com/Taylor-swift-i-wish-you-would-taylors-version-lyrics
NEN	8	Bad Blood		No	band-aids	love	bad	blood	69	16	7	46	0	0	496	https://genius.com/Taylor-swift-bad-blood-taylors-version-lyrics
NEN	9	Wildest Dreams		No	starin'	remember	wildest	dreams	64	10	13	41	0	0	358	https://genius.com/Taylor-swift-wildest-dreams-taylors-version-lyrics
NEN	10	How You Get The Girl		No	worse	wait	better	girl	54	8	6	34	0	6	388	https://genius.com/Taylor-swift-how-you-get-the-girl-taylors-version-lyrics
NEN	11	This Love		No	tossing	love	free	hands	51	12	4	35	0	0	376	https://genius.com/Taylor-swift-this-love-taylors-version-lyrics
NEN	12	I Know Places		No	chasing	hide	tryin'	places	39	12	2	20	0	5	315	https://genius.com/Taylor-swift-i-know-places-taylors-version-lyrics
NEN	13	Clean		No	worst	breathe	clean	months	42	8	6	24	0	4	309	https://genius.com/Taylor-swift-clean-taylors-version-lyrics
NEN	14	Wonderland		No	pretended	found	lost	Wonderland	56	12	6	38	0	0	390	https://genius.com/Taylor-swift-wonderland-taylors-version-lyrics
NEN	15	You Are In Love		No	moved	love	true	silence	42	16	10	16	0	0	435	https://genius.com/Taylor-swift-you-are-in-love-taylors-version-lyrics
NEN	16	New Romantics		No	oh-oh	build	best	baby	58	18	5	35	0	0	466	https://genius.com/Taylor-swift-new-romantics-taylors-version-lyrics
NEN	17	Slut!		Yes	love-struck	might	drunk	slut	49	10	10	24	0	5	337	https://genius.com/Taylor-swift-slut-taylors-version-from-the-vault-lyrics
NEN	18	Say Don't Go		Yes	pacin'	stay	bleedin'	knife	62	12	8	31	8	3	441	https://genius.com/Taylor-swift-say-dont-go-taylors-version-from-the-vault-lyrics
NEN	19	Now That We Don't Talk		Yes	chasing	talk	lost	mom	36	16	4	8	0	8	281	https://genius.com/Taylor-swift-now-that-we-dont-talk-taylors-version-from-the-vault-lyrics
NEN	20	Suburban Legends		Yes	mismatched	born	suburban	friends	37	16	0	12	0	9	306	https://genius.com/Taylor-swift-suburban-legends-taylors-version-from-the-vault-lyrics
NEN	21	Is It Over Now?		Yes	passed	runnin'	whispered	Lord	59	8	20	23	0	8	419	https://genius.com/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-lyrics
NEN	22	Sweeter Than Fiction		No	proved	hit	sweeter	fiction	56	8	12	32	0	4	470	https://genius.com/Taylor-swift-sweeter-than-fiction-taylors-version-lyrics
REP	1	...Ready For It?		No	stealin'	let	middle	games	58	16	0	28	14	0	453	https://genius.com/Taylor-swift-ready-for-it-lyrics
REP	2	End Game	"Ed Sheeran, Future"	No	handprints	heard	big	end	80	28	0	36	16	0	702	https://genius.com/Taylor-swift-end-game-lyrics
REP	3	I Did Something Bad		No	pitchforks	feel	bad	light	65	12	7	43	0	3	463	https://genius.com/Taylor-swift-i-did-something-bad-lyrics
REP	4	Don't Blame Me		No	pacin'	usin'	crazy	baby	61	12	10	30	0	9	482	https://genius.com/Taylor-swift-dont-blame-me-lyrics
REP	5	Delicate		No	worse	must	delicate	chill	67	12	4	45	0	6	487	https://genius.com/Taylor-swift-delicate-lyrics
REP	6	Look What You Made Me Do		No	underlined	check	starrin'	actress	73	16	17	40	0	0	572	https://genius.com/Taylor-swift-look-what-you-made-me-do-lyrics
REP	7	So It Goes...		No	skippin'	fall	bad	baby	61	16	7	26	12	0	389	https://genius.com/Taylor-swift-so-it-goes-lyrics
REP	8	Gorgeous		No	worse	hate	gorgeous	face	52	14	7	22	0	9	437	https://genius.com/Taylor-swift-gorgeous-lyrics
REP	9	Getaway Car		No	switched	met	drivin'	getaway	70	12	8	41	0	9	546	https://genius.com/Taylor-swift-getaway-car-lyrics
REP	10	King Of My Heart		No	mending	let	American	waitin'	62	8	9	45	0	0	468	https://genius.com/Taylor-swift-king-of-my-heart-lyrics
REP	11	Dancing With Our Hands Tied		No	held	love	tied	dancin'	64	16	8	38	0	2	438	https://genius.com/Taylor-swift-dancing-with-our-hands-tied-lyrics
REP	12	Dress		No	spillin'	bought	best	name	64	10	14	36	0	4	491	https://genius.com/Taylor-swift-dress-lyrics
REP	13	This Is Why We Can't Have Nice Things		No	stabbed	break	nice	things	47	12	9	26	0	0	415	https://genius.com/Taylor-swift-this-is-why-we-cant-have-nice-things-lyrics
REP	14	Call It What You Want		No	sparkin'	call	high	baby's	73	13	10	41	0	9	520	https://genius.com/Taylor-swift-call-it-what-you-want-lyrics
REP	15	New Year's Day		No	crawlin'	hold	hard	memories	44	12	4	12	8	8	366	https://genius.com/Taylor-swift-new-years-day-lyrics
LVR	1	I Forgot That You Existed		No	tongue-tied	forgot	wrong	indifference	45	16	4	25	0	0	293	https://genius.com/Taylor-swift-i-forgot-that-you-existed-lyrics
LVR	2	Cruel Summer		No	worst	roll	cruel	summer	59	8	9	32	0	10	441	https://genius.com/Taylor-swift-cruel-summer-lyrics
LVR	3	Lover		No	seconds	save	close	lover	33	8	8	17	0	0	258	https://genius.com/Taylor-swift-lover-lyrics
LVR	4	The Man		No	wonderin'	found	sick	man	46	8	8	28	0	2	430	https://genius.com/Taylor-swift-the-man-lyrics
LVR	5	The Archer		No	archer	stay	ready	combat	45	8	8	28	0	1	292	https://genius.com/Taylor-swift-the-archer-lyrics
LVR	6	I Think He Knows		No	skipping	bless	skipping	heartbeat	65	16	8	41	0	0	390	https://genius.com/Taylor-swift-i-think-he-knows-lyrics
LVR	7	Miss Americana & The Heartbreak Prince		No	damsels	win	bad	girl	62	16	8	35	0	3	504	https://genius.com/Taylor-swift-miss-americana-and-the-heartbreak-prince-lyrics
LVR	8	Paper Rings		No	tried	kiss	shiny	paper	65	15	9	39	0	2	483	https://genius.com/Taylor-swift-paper-rings-lyrics
LVR	9	Cornelia Street		No	turned	walk	mystified	baby	53	16	6	29	0	2	370	https://genius.com/Taylor-swift-cornelia-street-lyrics
LVR	10	Death By A Thousand Cuts		No	boarded	cuts	drunk	thousand	60	8	12	29	0	11	430	https://genius.com/Taylor-swift-death-by-a-thousand-cuts-lyrics
LVR	11	London Boy		No	watchin'	love	fancy	boy	54	8	8	28	0	10	431	https://genius.com/Taylor-swift-london-boy-lyrics
LVR	12	Soon You'll Get Better	The Chicks	No	delusion	pray	better	buttons	46	12	4	30	0	0	235	https://genius.com/Taylor-swift-soon-youll-get-better-lyrics
LVR	13	False God		No	staring	love	false	worship	50	12	0	34	0	4	319	https://genius.com/Taylor-swift-false-god-lyrics
LVR	14	You Need To Calm Down		No	tweet	need	loud	step	40	12	5	23	0	0	343	https://genius.com/Taylor-swift-you-need-to-calm-down-lyrics
LVR	15	Afterglow		No	pinned	need	burned	head	48	8	8	32	0	0	385	https://genius.com/Taylor-swift-afterglow-lyrics
LVR	16	Me!	Brendon Urie	No	oh-oh	promise	fun	baby	64	16	8	29	0	11	463	https://genius.com/Taylor-swift-me-lyrics
LVR	17	It's Nice To Have A Friend		No	stressed	call	nice	friend	28	18	0	8	0	2	156	https://genius.com/Taylor-swift-its-nice-to-have-a-friend-lyrics
LVR	18	Daylight		No	refused	love	golden	daylight	59	8	10	31	0	10	480	https://genius.com/Taylor-swift-daylight-lyrics
FOL	1	The 1		No	tossing	hit	fun	defense	47	12	3	32	0	0	307	https://genius.com/Taylor-swift-the-1-lyrics
FOL	2	Cardigan		No	chasin'	assume	young	felt	56	21	4	22	9	0	336	https://genius.com/Taylor-swift-cardigan-lyrics
FOL	3	The Last Great American Dynasty		No	pacing	ruining	marvelous	town	40	15	8	13	0	4	323	https://genius.com/Taylor-swift-the-last-great-american-dynasty-lyrics
FOL	4	Exile	Bon Iver	No	starin'	read	learned	warning	61	12	12	21	0	16	458	https://genius.com/Taylor-swift-exile-lyrics
FOL	5	My Tears Ricochet		No	cursing	stayed	loved	cursing	37	12	6	19	0	0	310	https://genius.com/Taylor-swift-my-tears-ricochet-lyrics
FOL	6	Mirrorball		No	trapeze	hush	tallest	heels	39	12	8	16	0	3	258	https://genius.com/Taylor-swift-mirrorball-lyrics
FOL	7	Seven		No	passed	love	passed	folk	37	12	9	16	0	0	218	https://genius.com/Taylor-swift-seven-lyrics
FOL	8	August		No	wishin'	hope	lost	August	51	8	9	18	0	16	397	https://genius.com/Taylor-swift-august-lyrics
FOL	9	This Is Me Trying		No	adjusting	regrets	trying	lot	28	16	3	8	0	1	260	https://genius.com/Taylor-swift-this-is-me-trying-lyrics
FOL	10	Illicit Affairs		No	worked	call	little	meetings	36	16	7	10	0	3	239	https://genius.com/Taylor-swift-illicit-affairs-lyrics
FOL	11	Invisible String		No	tied	read	invisible	string	53	18	7	26	0	2	295	https://genius.com/Taylor-swift-invisible-string-lyrics
FOL	12	Mad Woman		No	watching	likes	mad	woman	45	15	8	20	0	2	314	https://genius.com/Taylor-swift-mad-woman-lyrics
FOL	13	Epiphany		No	crawling	watch	single	breathing	24	10	4	6	0	4	183	https://genius.com/Taylor-swift-epiphany-lyrics
FOL	14	Betty		No	passed	showed	true	thing	67	18	7	38	0	4	455	https://genius.com/Taylor-swift-betty-lyrics
FOL	15	Peace		No	dreamscapes	keep	brittle	peace	33	19	0	14	0	0	287	https://genius.com/Taylor-swift-peace-lyrics
FOL	16	Hoax		No	undone	stood	blue	shade	38	12	12	8	0	6	241	https://genius.com/Taylor-swift-hoax-lyrics
FOL	17	The Lakes		No	name-dropping	die	beloved	poets	28	7	8	13	0	0	229	https://genius.com/Taylor-swift-the-lakes-lyrics
EVE	1	Willow		No	bait-and-switch	stray	bent	man	55	15	4	28	0	8	408	https://genius.com/Taylor-swift-willow-lyrics
EVE	2	Champagne Problems		No	celebrating	remember	dropped	champagne	50	8	16	24	0	2	285	https://genius.com/Taylor-swift-champagne-problems-lyrics
EVE	3	Gold Rush		No	twinkling	rush	falling	gold	44	8	0	20	8	8	339	https://genius.com/Taylor-swift-gold-rush-lyrics
EVE	4	'Tis The Damn Season		No	fakin'	call	real	road	52	13	12	26	0	1	408	https://genius.com/Taylor-swift-tis-the-damn-season-lyrics
EVE	5	Tolerate It		No	removed	watch	wrong	head	42	10	7	24	0	1	315	https://genius.com/Taylor-swift-tolerate-it-lyrics
EVE	6	"No Body, No Crime"	Haim	No	moved	prove	losin'	body	50	17	4	21	0	8	375	https://genius.com/Taylor-swift-no-body-no-crime-lyrics
EVE	7	Happiness		No	dappled	leave	true	happiness	63	25	7	31	0	0	431	https://genius.com/Taylor-swift-happiness-lyrics
EVE	8	Dorothea		No	shined	stop	late	place	42	11	0	24	0	7	244	https://genius.com/Taylor-swift-dorothea-lyrics
EVE	9	Coney Island	The National	No	pushed	leave	colder	sun	61	16	11	27	0	7	389	https://genius.com/Taylor-swift-coney-island-lyrics
EVE	10	Ivy		No	stole	stop	covered	stone	64	24	8	32	0	0	368	https://genius.com/Taylor-swift-ivy-lyrics
EVE	11	Cowboy Like Me		No	hustling	love	perched	cowboy	58	16	7	23	9	3	340	https://genius.com/Taylor-swift-cowboy-like-me-lyrics
EVE	12	Long Story Short		No	pushed	keep	short	story	69	24	8	35	0	2	406	https://genius.com/Taylor-swift-long-story-short-lyrics
EVE	13	Marjorie		No	backlogged	died	dead	head	56	8	14	26	0	8	320	https://genius.com/Taylor-swift-marjorie-lyrics
EVE	14	Closure		No	smoothing	cut	better	closure	39	11	5	23	0	0	229	https://genius.com/Taylor-swift-closure-lyrics
EVE	15	Evermore	Bon Iver	No	double-crossed	pause	catchin'	feeling	59	16	20	19	0	4	344	https://genius.com/Taylor-swift-evermore-lyrics
EVE	16	Right Where You Left Me		No	moved	stay	left	choice	53	8	8	37	0	0	407	https://genius.com/Taylor-swift-right-where-you-left-me-lyrics
EVE	17	It's Time To Go		No	worse	find	old	thing	53	20	0	25	0	8	377	https://genius.com/Taylor-swift-its-time-to-go-lyrics
MID	1	Lavender Haze		No	bringing	stay	surreal	lavender	50	8	8	28	0	6	301	https://genius.com/Taylor-swift-lavender-haze-lyrics
MID	2	Maroon		No	screw-top	mark	maroon	t-shirt	55	17	4	32	0	2	348	https://genius.com/Taylor-swift-maroon-lyrics
MID	3	Anti-Hero		No	lurching	agrees	exhausting	problem	48	8	10	30	0	0	333	https://genius.com/Taylor-swift-anti-hero-lyrics
MID	5	"You're On Your Own, Kid"		No	picked	splashes	best	kid	43	15	12	16	0	0	296	https://genius.com/Taylor-swift-youre-on-your-own-kid-lyrics
MID	6	Midnight Rain		No	chasing	stayed	comfortable	midnight	44	18	0	12	0	14	283	https://genius.com/Taylor-swift-midnight-rain-lyrics
MID	7	Question...?		No	dickhead	wish	crowded	question	58	22	5	30	0	1	432	https://genius.com/Taylor-swift-question-lyrics
MID	8	Vigilante Shit		No	worst	dress	sad	revenge	38	19	4	15	0	0	259	https://genius.com/Taylor-swift-vigilante-shit-lyrics
